query_num,operator,actual,rl_predicted,duck_predicted,rl_q_error,duck_q_error,trees,timestamp
1,HASH_GROUP_BY,49985,2298,2298,21.751523,21.751523,0,2025-12-12T23:51:29.937127
1,HASH_JOIN,55326,2305,2305,24.002603,24.002603,0,2025-12-12T23:51:29.937363
1,SEQ_SCAN,55326,287867,287867,5.203105,5.203105,0,2025-12-12T23:51:29.937490
1,FILTER,365,585,585,1.60274,1.60274,0,2025-12-12T23:51:29.937507
1,SEQ_SCAN,365,585,585,1.60274,1.60274,0,2025-12-12T23:51:29.937519
1,FILTER,12852,1,1,12852.0,12852.0,0,2025-12-12T23:51:29.937533
1,HASH_JOIN,49452,1,1,49452.0,49452.0,0,2025-12-12T23:51:29.937545
1,SEQ_SCAN,99995,100000,100000,1.00005,1.00005,0,2025-12-12T23:51:29.937556
1,HASH_JOIN,49458,1,1,49458.0,49458.0,0,2025-12-12T23:51:29.937568
1,SEQ_SCAN,12,2,2,6.0,6.0,0,2025-12-12T23:51:29.937579
2,HASH_GROUP_BY,263,451782,451782,1717.802281,1717.802281,0,2025-12-12T23:51:29.959039
2,HASH_JOIN,2153556,2160932,2160932,1.003425,1.003425,0,2025-12-12T23:51:29.959177
2,SEQ_SCAN,719199,719384,719384,1.000257,1.000257,0,2025-12-12T23:51:29.959201
2,SEQ_SCAN,1434357,1441548,1441548,1.005013,1.005013,0,2025-12-12T23:51:29.959378
2,SEQ_SCAN,1834,73049,73049,39.830425,39.830425,0,2025-12-12T23:51:29.959400
2,HASH_JOIN,2520,2913445,2913445,1156.128968,1156.128968,0,2025-12-12T23:51:29.959415
2,HASH_JOIN,366,76143,76143,208.040984,208.040984,0,2025-12-12T23:51:29.959426
2,SEQ_SCAN,366,585,585,1.598361,1.598361,0,2025-12-12T23:51:29.959436
2,HASH_JOIN,365,76143,76143,208.610959,208.610959,0,2025-12-12T23:51:29.959445
2,SEQ_SCAN,365,585,585,1.60274,1.60274,0,2025-12-12T23:51:29.959453
3,HASH_GROUP_BY,24,182,182,7.583333,7.583333,0,2025-12-12T23:51:29.963717
3,HASH_JOIN,239,183,183,1.306011,1.306011,0,2025-12-12T23:51:29.963762
3,FILTER,155,5620,5620,36.258065,36.258065,0,2025-12-12T23:51:29.963778
3,SEQ_SCAN,155,5620,5620,36.258065,36.258065,0,2025-12-12T23:51:29.963791
3,HASH_JOIN,1542,2383,2383,1.545396,1.545396,0,2025-12-12T23:51:29.963803
3,SEQ_SCAN,2605885,2880404,2880404,1.105346,1.105346,0,2025-12-12T23:51:29.963842
3,SEQ_SCAN,10,14,14,1.4,1.4,0,2025-12-12T23:51:29.963852
4,FILTER,75699,819530,819530,10.826167,10.826167,0,2025-12-12T23:51:30.078526
4,HASH_GROUP_BY,190581,4097652,4097652,21.500842,21.500842,0,2025-12-12T23:51:30.078581
4,HASH_JOIN,2685933,4097652,4097652,1.525597,1.525597,0,2025-12-12T23:51:30.078594
4,HASH_JOIN,2685933,2880404,2880404,1.072404,1.072404,0,2025-12-12T23:51:30.078604
4,SEQ_SCAN,2685933,2880404,2880404,1.072404,1.072404,0,2025-12-12T23:51:30.078613
4,SEQ_SCAN,1827,73049,73049,39.983032,39.983032,0,2025-12-12T23:51:30.078621
4,SEQ_SCAN,100000,100000,100000,1.0,1.0,0,2025-12-12T23:51:30.078629
4,FILTER,53677,410148,410148,7.641038,7.641038,0,2025-12-12T23:51:30.078636
4,HASH_GROUP_BY,136978,2050741,2050741,14.971317,14.971317,0,2025-12-12T23:51:30.078643
4,HASH_JOIN,1430861,2050741,2050741,1.433222,1.433222,0,2025-12-12T23:51:30.078650
4,HASH_JOIN,1430861,1441548,1441548,1.007469,1.007469,0,2025-12-12T23:51:30.078657
4,SEQ_SCAN,1430861,1441548,1441548,1.007469,1.007469,0,2025-12-12T23:51:30.078664
4,SEQ_SCAN,1834,73049,73049,39.830425,39.830425,0,2025-12-12T23:51:30.078671
4,SEQ_SCAN,100000,100000,100000,1.0,1.0,0,2025-12-12T23:51:30.078678
4,FILTER,22347,204678,204678,9.159082,9.159082,0,2025-12-12T23:51:30.078684
4,HASH_GROUP_BY,56649,1023393,1023393,18.065509,18.065509,0,2025-12-12T23:51:30.078691
4,HASH_JOIN,719122,1023393,1023393,1.423115,1.423115,0,2025-12-12T23:51:30.078697
4,HASH_JOIN,719122,719384,719384,1.000364,1.000364,0,2025-12-12T23:51:30.078704
4,SEQ_SCAN,719122,719384,719384,1.000364,1.000364,0,2025-12-12T23:51:30.078710
4,SEQ_SCAN,1827,73049,73049,39.983032,39.983032,0,2025-12-12T23:51:30.078717
4,SEQ_SCAN,99999,100000,100000,1.00001,1.00001,0,2025-12-12T23:51:30.078723
4,FILTER,7,18446744073709551615,18446744073709551615,2.6352491533870787e+18,2.6352491533870787e+18,0,2025-12-12T23:51:30.078732
4,HASH_JOIN,16,18446744073709551615,18446744073709551615,1.152921504606847e+18,1.152921504606847e+18,0,2025-12-12T23:51:30.078741
4,HASH_JOIN,134,6093166573,6093166573,45471392.335821,45471392.335821,0,2025-12-12T23:51:30.078762
4,HASH_JOIN,10239,29268175,29268175,2858.499365,2858.499365,0,2025-12-12T23:51:30.078786
4,FILTER,37708,1434356,1434356,38.038506,38.038506,0,2025-12-12T23:51:30.078797
4,FILTER,27379,1434356,1434356,52.388911,52.388911,0,2025-12-12T23:51:30.078806
4,HASH_JOIN,1227,29268175,29268175,23853.443358,23853.443358,0,2025-12-12T23:51:30.078815
4,FILTER,11091,1434356,1434356,129.32612,129.32612,0,2025-12-12T23:51:30.078824
4,FILTER,11256,1434356,1434356,127.430348,127.430348,0,2025-12-12T23:51:30.078832
4,HASH_JOIN,10028,29268175,29268175,2918.645293,2918.645293,0,2025-12-12T23:51:30.078841
4,FILTER,37991,1434356,1434356,37.755153,37.755153,0,2025-12-12T23:51:30.078850
