query_num,operator,actual,rl_predicted,duck_predicted,rl_q_error,duck_q_error,trees,timestamp
846,UNGROUPED_AGGREGATE,1,1,1,1.0,1.0,0,2025-11-19T08:38:33.799330
846,SEQ_SCAN,30,585,585,19.5,19.5,0,2025-11-19T08:38:33.799869
846,HASH_JOIN,0,45,45,45.0,45.0,0,2025-11-19T08:38:33.799966
846,SEQ_SCAN,220,73049,73049,332.040909,332.040909,0,2025-11-19T08:38:33.799982
846,HASH_JOIN,0,45,45,45.0,45.0,0,2025-11-19T08:38:33.799994
846,SEQ_SCAN,20480,2880404,2880404,140.644727,140.644727,0,2025-11-19T08:38:33.800004
846,HASH_JOIN,216,136,136,1.588235,1.588235,0,2025-11-19T08:38:33.800014
846,SEQ_SCAN,18,50000,50000,2777.777778,2777.777778,0,2025-11-19T08:38:33.800023
846,SEQ_SCAN,12,12,12,1.0,1.0,0,2025-11-19T08:38:33.800031
846,HASH_JOIN,494,241,241,2.049793,2.049793,0,2025-11-19T08:38:33.800039
846,SEQ_SCAN,99208,100000,100000,1.007983,1.007983,0,2025-11-19T08:38:33.800047
846,HASH_JOIN,494,169,169,2.923077,2.923077,0,2025-11-19T08:38:33.800055
846,HASH_JOIN,20517,17305,17305,1.185611,1.185611,0,2025-11-19T08:38:33.800063
846,SEQ_SCAN,13826,1441548,1441548,104.263561,104.263561,0,2025-11-19T08:38:33.800071
846,SEQ_SCAN,6691,719384,719384,107.51517,107.51517,0,2025-11-19T08:38:33.800079
846,FILTER,30,585,585,19.5,19.5,0,2025-11-19T08:38:33.800087
846,SEQ_SCAN,30,585,585,19.5,19.5,0,2025-11-19T08:38:33.800094
846,SEQ_SCAN,437,166,166,2.63253,2.63253,0,2025-11-19T08:38:33.800102
846,UNGROUPED_AGGREGATE,1,1,1,1.0,1.0,0,2025-11-19T08:38:33.800109
846,SEQ_SCAN,30,585,585,19.5,19.5,0,2025-11-19T08:38:33.800117
423,HASH_GROUP_BY,10655,583,583,18.276158,18.276158,0,2025-11-19T08:38:33.870199
423,HASH_JOIN,7783,584,584,13.327055,13.327055,0,2025-11-19T08:38:33.870414
423,SEQ_SCAN,17992,18000,18000,1.000445,1.000445,0,2025-11-19T08:38:33.870524
423,HASH_JOIN,7783,549,549,14.176685,14.176685,0,2025-11-19T08:38:33.870549
423,HASH_JOIN,7875,3295,3295,2.389985,2.389985,0,2025-11-19T08:38:33.870561
423,FILTER,27439,274400,274400,10.000364,10.000364,0,2025-11-19T08:38:33.870571
423,SEQ_SCAN,27439,274400,274400,10.000364,10.000364,0,2025-11-19T08:38:33.870581
423,HASH_JOIN,550407,23067,23067,23.86123,23.86123,0,2025-11-19T08:38:33.870591
423,SEQ_SCAN,550407,2880404,2880404,5.233226,5.233226,0,2025-11-19T08:38:33.870599
423,FILTER,364,585,585,1.607143,1.607143,0,2025-11-19T08:38:33.870608
423,SEQ_SCAN,365,585,585,1.60274,1.60274,0,2025-11-19T08:38:33.870616
423,FILTER,10,2,2,5.0,5.0,0,2025-11-19T08:38:33.870625
423,FILTER,12,2,2,6.0,6.0,0,2025-11-19T08:38:33.870633
423,HASH_JOIN,12,12,12,1.0,1.0,0,2025-11-19T08:38:33.870641
423,SEQ_SCAN,12,12,12,1.0,1.0,0,2025-11-19T08:38:33.870649
1906,HASH_GROUP_BY,1,80,80,80.0,80.0,0,2025-11-19T08:38:33.924587
1906,HASH_JOIN,1,81,81,81.0,81.0,0,2025-11-19T08:38:33.924729
1906,HASH_JOIN,1,40,40,40.0,40.0,0,2025-11-19T08:38:33.924766
1906,SEQ_SCAN,1,18000,18000,18000.0,18000.0,0,2025-11-19T08:38:33.924792
1906,HASH_JOIN,1,25,25,25.0,25.0,0,2025-11-19T08:38:33.924848
1906,HASH_JOIN,1,3181,3181,3181.0,3181.0,0,2025-11-19T08:38:33.924882
1906,SEQ_SCAN,404,2880404,2880404,7129.712871,7129.712871,0,2025-11-19T08:38:33.924906
1906,HASH_JOIN,4,194,194,48.5,48.5,0,2025-11-19T08:38:33.924930
1906,HASH_JOIN,149040,11544,11544,12.910603,12.910603,0,2025-11-19T08:38:33.924950
1906,SEQ_SCAN,149040,1441548,1441548,9.672222,9.672222,0,2025-11-19T08:38:33.925006
1906,FILTER,214,585,585,2.733645,2.733645,0,2025-11-19T08:38:33.925090
1906,SEQ_SCAN,214,585,585,2.733645,2.733645,0,2025-11-19T08:38:33.925149
1906,HASH_JOIN,25764,2305,2305,11.17744,11.17744,0,2025-11-19T08:38:33.925238
1906,SEQ_SCAN,25764,287867,287867,11.173226,11.173226,2,2025-11-19T08:38:33.927633
1906,FILTER,214,585,585,2.733645,2.733645,3,2025-11-19T08:38:33.928860
1906,SEQ_SCAN,214,585,585,2.733645,2.733645,4,2025-11-19T08:38:33.929807
1906,FILTER,30,585,585,19.5,19.5,5,2025-11-19T08:38:33.930430
1906,SEQ_SCAN,30,585,585,19.5,19.5,6,2025-11-19T08:38:33.931149
1906,SEQ_SCAN,10,12,12,1.2,1.2,7,2025-11-19T08:38:33.931869
594,HASH_GROUP_BY,90,8,23,11.25,3.913043,8,2025-11-19T08:38:33.951872
594,HASH_JOIN,215312,4387,274565,49.079553,1.275196,9,2025-11-19T08:38:33.952435
594,HASH_JOIN,215312,4387,274565,49.079553,1.275196,10,2025-11-19T08:38:33.953355
594,HASH_JOIN,215312,4387,274565,49.079553,1.275196,11,2025-11-19T08:38:33.953920
594,HASH_JOIN,215312,4387,288293,49.079553,1.338955,12,2025-11-19T08:38:33.954500
594,SEQ_SCAN,215312,1544,1441548,139.450777,6.695159,13,2025-11-19T08:38:33.955102
594,FILTER,363,816,14609,2.247934,40.245179,14,2025-11-19T08:38:33.955657
594,SEQ_SCAN,365,95,14609,3.842105,40.024658,15,2025-11-19T08:38:33.956206
594,SEQ_SCAN,20,18,20,1.111111,1.0,16,2025-11-19T08:38:33.956758
594,SEQ_SCAN,5,10,5,2.0,1.0,17,2025-11-19T08:38:33.957331
594,SEQ_SCAN,6,6,6,1.0,1.0,18,2025-11-19T08:38:33.958194
273,HASH_GROUP_BY,1735,105319,287400,60.702594,165.648415,19,2025-11-19T08:38:34.037614
273,HASH_JOIN,56927,161686,144067,2.840234,2.530732,20,2025-11-19T08:38:34.038852
273,SEQ_SCAN,57429,338,144067,169.908284,2.508611,21,2025-11-19T08:38:34.039754
273,HASH_JOIN,56927,282433,27892,4.961319,2.040979,22,2025-11-19T08:38:34.040461
273,HASH_JOIN,56927,194360,139468,3.414197,2.449945,23,2025-11-19T08:38:34.041201
273,SEQ_SCAN,571607,9331,1441548,61.258922,2.521922,24,2025-11-19T08:38:34.042042
273,SEQ_SCAN,1786,209,1637,8.545455,1.09102,25,2025-11-19T08:38:34.043198
273,FILTER,730,10127,73049,13.872603,100.067123,26,2025-11-19T08:38:34.044108
273,SEQ_SCAN,73049,544,73049,134.28125,1.0,27,2025-11-19T08:38:34.045581
273,HASH_JOIN,109171,161686,287867,1.481034,2.636845,28,2025-11-19T08:38:34.046523
273,SEQ_SCAN,287612,6760,287867,42.546154,1.000887,29,2025-11-19T08:38:34.047375
273,HASH_JOIN,109171,282433,55732,2.58707,1.958857,30,2025-11-19T08:38:34.048122
273,HASH_JOIN,109171,194360,278677,1.780326,2.552665,31,2025-11-19T08:38:34.049126
273,SEQ_SCAN,1095342,7516,2880404,145.734699,2.629685,32,2025-11-19T08:38:34.049927
273,SEQ_SCAN,1786,209,1637,8.545455,1.09102,33,2025-11-19T08:38:34.050727
273,FILTER,730,10127,73049,13.872603,100.067123,34,2025-11-19T08:38:34.051528
273,SEQ_SCAN,73049,544,73049,134.28125,1.0,35,2025-11-19T08:38:34.052301
273,HASH_JOIN,28558,104033,71654,3.642867,2.509069,36,2025-11-19T08:38:34.053349
273,SEQ_SCAN,71603,50,71654,1432.06,1.000712,37,2025-11-19T08:38:34.054254
273,HASH_JOIN,28558,56781,13919,1.988269,2.051728,38,2025-11-19T08:38:34.055206
273,HASH_JOIN,28558,194360,69599,6.805799,2.43711,39,2025-11-19T08:38:34.056125
273,SEQ_SCAN,289313,8560,719384,33.798248,2.486525,40,2025-11-19T08:38:34.056923
273,SEQ_SCAN,1786,209,1637,8.545455,1.09102,41,2025-11-19T08:38:34.057701
273,FILTER,730,10127,73049,13.872603,100.067123,42,2025-11-19T08:38:34.058729
273,SEQ_SCAN,73049,544,73049,134.28125,1.0,43,2025-11-19T08:38:34.059638
273,FILTER,155,10127,42020,65.335484,271.096774,44,2025-11-19T08:38:34.060565
273,HASH_JOIN,577,102436,42020,177.532062,72.824957,45,2025-11-19T08:38:34.061756
273,FILTER,884,10127,287400,11.455882,325.113122,46,2025-11-19T08:38:34.063009
273,FILTER,851,10127,287400,11.900118,337.720329,47,2025-11-19T08:38:34.064120
1937,HASH_GROUP_BY,119,1133,1729,9.521008,14.529412,48,2025-11-19T08:38:34.079254
1937,HASH_GROUP_BY,77,690,1041,8.961039,13.519481,49,2025-11-19T08:38:34.079924
1937,HASH_JOIN,80,1470,1079,18.375,13.4875,50,2025-11-19T08:38:34.080604
1937,SEQ_SCAN,2412,67,8334,36.0,3.455224,51,2025-11-19T08:38:34.081212
1937,HASH_JOIN,1639,20456,4907,12.480781,2.993899,52,2025-11-19T08:38:34.081854
1937,HASH_JOIN,25509,76102,23067,2.983339,1.105866,53,2025-11-19T08:38:34.082521
1937,SEQ_SCAN,25509,88985,2880404,3.488377,112.917166,54,2025-11-19T08:38:34.083241
1937,FILTER,30,91,585,3.033333,19.5,55,2025-11-19T08:38:34.084013
1937,SEQ_SCAN,30,68,585,2.266667,19.5,56,2025-11-19T08:38:34.085592
1937,HASH_JOIN,1284,18968,3600,14.772586,2.803738,57,2025-11-19T08:38:34.087081
1937,SEQ_SCAN,17909,2715,18000,6.596317,1.005081,58,2025-11-19T08:38:34.087741
1937,FILTER,559,409,3600,1.366748,6.440072,59,2025-11-19T08:38:34.088456
1937,SEQ_SCAN,18000,5320,18000,3.383459,1.0,60,2025-11-19T08:38:34.089118
1937,HASH_GROUP_BY,33,1296,530,39.272727,16.060606,61,2025-11-19T08:38:34.089791
1937,HASH_JOIN,34,5681,540,167.088235,15.882353,62,2025-11-19T08:38:34.090425
1937,FILTER,559,409,3600,1.366748,6.440072,63,2025-11-19T08:38:34.091284
1937,SEQ_SCAN,18000,5320,18000,3.383459,1.0,64,2025-11-19T08:38:34.092335
1937,HASH_JOIN,584,2557,2700,4.378425,4.623288,65,2025-11-19T08:38:34.093157
1937,SEQ_SCAN,17966,2715,18000,6.617311,1.001892,66,2025-11-19T08:38:34.094030
1937,HASH_JOIN,584,10469,2538,17.92637,4.34589,67,2025-11-19T08:38:34.095228
1937,HASH_JOIN,13636,19842,11544,1.455119,1.18122,68,2025-11-19T08:38:34.096281
1937,SEQ_SCAN,13636,119479,1441548,8.762027,105.716339,69,2025-11-19T08:38:34.097457
1937,FILTER,30,91,585,3.033333,19.5,70,2025-11-19T08:38:34.098299
1937,SEQ_SCAN,30,68,585,2.266667,19.5,71,2025-11-19T08:38:34.099316
1937,SEQ_SCAN,2420,67,8334,36.119403,3.443802,72,2025-11-19T08:38:34.100230
1937,HASH_GROUP_BY,18,168,266,9.333333,14.777778,73,2025-11-19T08:38:34.101198
1937,HASH_JOIN,18,609,269,33.833333,14.944444,74,2025-11-19T08:38:34.102247
1937,FILTER,559,409,3600,1.366748,6.440072,75,2025-11-19T08:38:34.103395
1937,SEQ_SCAN,18000,5320,18000,3.383459,1.0,76,2025-11-19T08:38:34.104598
1937,HASH_JOIN,327,2463,1347,7.53211,4.119266,77,2025-11-19T08:38:34.105751
1937,SEQ_SCAN,17992,2715,18000,6.626888,1.000445,78,2025-11-19T08:38:34.106669
1937,HASH_JOIN,327,14758,1266,45.131498,3.87156,79,2025-11-19T08:38:34.107578
1937,HASH_JOIN,6648,15037,5761,2.261883,1.153966,80,2025-11-19T08:38:34.108511
1937,SEQ_SCAN,6648,41656,719384,6.265945,108.21059,81,2025-11-19T08:38:34.109551
1937,FILTER,30,91,585,3.033333,19.5,82,2025-11-19T08:38:34.110612
1937,SEQ_SCAN,30,68,585,2.266667,19.5,83,2025-11-19T08:38:34.111827
1937,SEQ_SCAN,2420,67,8334,36.119403,3.443802,84,2025-11-19T08:38:34.112767
1615,HASH_GROUP_BY,5080,1628,759938,3.120393,149.594094,85,2025-11-19T08:38:34.128764
1615,HASH_JOIN,298671,27537,759939,10.846171,2.544402,86,2025-11-19T08:38:34.129736
1615,HASH_JOIN,298671,20165,576049,14.811356,1.928708,87,2025-11-19T08:38:34.130719
1615,SEQ_SCAN,298671,8812,2880404,33.893668,9.64407,88,2025-11-19T08:38:34.131385
1615,FILTER,274,833,73049,3.040146,266.60219,89,2025-11-19T08:38:34.132059
1615,SEQ_SCAN,1827,301,73049,6.069767,39.983032,90,2025-11-19T08:38:34.132663
1615,SEQ_SCAN,50000,1262,50000,39.619651,1.0,91,2025-11-19T08:38:34.133345
1615,HASH_GROUP_BY,3097,2146,189794,1.44315,61.283177,92,2025-11-19T08:38:34.134131
1615,HASH_JOIN,79621,30575,189795,2.604121,2.38373,93,2025-11-19T08:38:34.134848
1615,HASH_JOIN,79621,28162,143868,2.827249,1.80691,94,2025-11-19T08:38:34.135577
1615,SEQ_SCAN,79621,3317,719384,24.003919,9.035104,95,2025-11-19T08:38:34.136484
1615,FILTER,274,833,73049,3.040146,266.60219,96,2025-11-19T08:38:34.137272
1615,SEQ_SCAN,1827,301,73049,6.069767,39.983032,97,2025-11-19T08:38:34.138009
1615,SEQ_SCAN,50000,1262,50000,39.619651,1.0,98,2025-11-19T08:38:34.138788
1615,FILTER,47,1558,18446744073709551615,33.148936,3.9248391646190534e+17,99,2025-11-19T08:38:34.139662
1615,HASH_JOIN,367,727,18446744073709551615,1.980926,5.0263607830271256e+16,100,2025-11-19T08:38:34.140688
1615,HASH_JOIN,760,63099,13838934489,83.025,18209124.327632,101,2025-11-19T08:38:34.141545
1615,HASH_JOIN,832,19515,72478227,23.455529,87113.253606,102,2025-11-19T08:38:34.142483
1615,FILTER,1635,1698,759938,1.038532,464.793884,103,2025-11-19T08:38:34.143469
1615,FILTER,911,3627,189794,3.981339,208.335895,104,2025-11-19T08:38:34.144449
1615,FILTER,1647,1698,759938,1.030965,461.407407,105,2025-11-19T08:38:34.145543
1615,HASH_JOIN,677,69739,3456264501,103.011817,5105265.141802,106,2025-11-19T08:38:34.146659
1615,HASH_JOIN,685,16648,18101388,24.30365,26425.383942,107,2025-11-19T08:38:34.147631
1615,FILTER,925,3627,189794,3.921081,205.182703,108,2025-11-19T08:38:34.148449
